country,population,latitude,longitude
Afghanistan,30419928,33.93911,67.709953
Aland Islands,28007,60.1785247,19.9156105
Albania,3002859,41.153332,20.168331
Algeria,35406303,28.033886,1.659626
American Samoa,68061,-14.306407,-170.6950175
Andorra,85082,42.506285,1.521801
Angola,18056072,-11.202692,17.873887
Anguilla,15423,18.220554,-63.068615
Antarctica,2500,-82.8627519,-135
Antigua And Barbuda,89018,17.060816,-61.796428
Argentina,42192494,-38.416097,-63.616672
Armenia,2970495,40.069099,45.038189
Aruba,107635,12.52111,-69.968338
Australia,22015576,-25.274398,133.775136
Austria,8219743,47.516231,14.550072
Azerbaijan,9493600,40.143105,47.576927
Bahamas,316182,25.03428,-77.39628
Bahrain,1248348,26.0667,50.5577
Bangladesh,161083804,23.684994,90.356331
Barbados,287733,13.193887,-59.543198
Belarus,9542883,53.709807,27.953389
Belgium,10438353,50.503887,4.469936
Belize,327719,17.189877,-88.49765
Benin,9598787,9.30769,2.315834
Bermuda,69080,32.3078,-64.7505
Bhutan,716896,27.514162,90.433601
Bolivia,10290003,-16.290154,-63.588653
Bosnia And Herzegovina,4622292,43.915886,17.679076
Botswana,2098018,-22.328474,24.684866
Bouvet Island,0,-54.4207915,3.3464497
Brazil,205716890,-14.235004,-51.92528
British Indian Ocean Territory,4000,-7.3347556,72.4242325
Brunei Darussalam,408786,4.535277,114.727669
Bulgaria,7037935,42.733883,25.48583
Burkina Faso,17275115,12.238333,-1.561593
Burundi,10557259,-3.373056,29.918886
Cambodia,14952665,12.565679,104.990963
Cameroon,20129878,7.369722,12.354722
Canada,34300083,56.130366,-106.346771
Cape Verde,523568,15.120142,-23.6051721
Cayman Islands,52560,19.3133,-81.2546
Central African Republic,5057208,6.611111,20.939444
Chad,10975648,15.454166,18.732207
Chile,17067369,-35.675147,-71.542969
China,1343239923,35.86166,104.195397
Christmas Island,1496,-10.447525,105.690449
Cocos (Keeling) Islands,596,-12.1708739,96.8417392
Colombia,45239079,4.570868,-74.297333
Comoros,737284,-11.6455,43.3333
Congo Democratic Republic,73599190,38.9054485,-77.0393167
Congo Republic,4125916,8.9887752,38.778213
Cook Islands,10777,-21.236736,-159.777671
Costa Rica,4636348,9.748917,-83.753428
Cote D'Ivoire,21952093,7.539989,-5.54708
Croatia,4480043,45.1,15.2
Cuba,11075244,21.521757,-77.781167
Curacao,142180,12.16957,-68.99002
Cyprus,1138071,35.126413,33.429859
Czech Republic,10177300,49.817492,15.472962
Denmark,5543453,56.26392,9.501785
Djibouti,774389,11.825138,42.590275
Dominica,73126,15.414999,-61.370976
Dominican Republic,10088598,18.735693,-70.162651
Ecuador,15223680,-1.831239,-78.183406
Egypt,83688164,26.820553,30.802498
El Salvador,6090646,13.794185,-88.89653
Equatorial Guinea,685991,1.650801,10.267895
Eritrea,6086495,15.179384,39.782334
Estonia,1274709,58.595272,25.013607
Ethiopia,93815992,9.145,40.489673
Falkland Islands (Malvinas),3140,-51.796253,-59.523613
Faroe Islands,49483,61.892635,-6.911806
Fiji,890057,-17.713371,178.065032
Finland,5262930,61.92411,25.748151
France,65630692,46.227638,2.213749
French Guiana,217000,3.933889,-53.125782
French Polynesia,274512,-17.679742,-149.406843
French Southern Territories,140,-49.280366,69.348557
Gabon,1608321,-0.803689,11.609444
Gambia,1840454,13.443182,-15.310139
Georgia,4570934,32.1656221,-82.9000751
Germany,81305856,51.165691,10.451526
Ghana,25241998,7.946527,-1.023194
Gibraltar,29034,36.140751,-5.353585
Greece,10767827,39.074208,21.824312
Greenland,57695,71.706936,-42.604303
Grenada,109011,12.1165,-61.679
Guadeloupe,405500,16.265,-61.551
Guam,183286,13.444304,144.793731
Guatemala,14099032,15.783471,-90.230759
Guernsey,64775,49.465691,-2.585278
Guinea,10884958,9.945587,-9.696645
Guinea-Bissau,1628603,11.803749,-15.180413
Guyana,741908,4.860416,-58.93018
Haiti,9801664,18.971187,-72.285215
Heard Island And Mcdonald Islands,0,-53.08181,73.504158
Holy See (Vatican City State),836,41.9023868,12.4512362
Honduras,8296693,15.199999,-86.241905
Hong Kong,7153519,22.396428,114.109497
Hungary,9958453,47.162494,19.503304
Iceland,313183,64.963051,-19.020835
India,1205073612,20.593684,78.96288
Indonesia,248216193,-0.789275,113.921327
Iran,78868711,32.427908,53.688046
Iraq,31129225,33.223191,43.679291
Ireland,4722028,53.41291,-8.24389
Isle Of Man,85421,54.236107,-4.548056
Israel,7590758,31.046051,34.851612
Italy,61261254,41.87194,12.56738
Jamaica,2889187,18.109581,-77.297508
Japan,127368088,36.204824,138.252924
